address,lat,lon
"2, улица Николая Кузнецова, Омск, Омск г.о., Омская область, Россия",,
"145, улица Яковлева, Омск, Омск г.о., Омская область, Россия",,
"16, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, nan, nan, Тарский район, Омская область, Россия",,
"7, Светлая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Максима Горького, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"8/5, улица Дианова, Омск, Омск г.о., Омская область, Россия",,
"nan, бульвар Победы, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Усть-Ишимский район, Омская область, Россия",,
"19, улица Лукашевича, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 10 лет Октября, Омск, Омск г.о., Омская область, Россия",,
"24, Молодогвардейская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Орджоникидзе, Омск, Омск г.о., Омская область, Россия",,
"14, nan, Омск, Омск г.о., Омская область, Россия",,
"58А, Магистральная улица, Омск, Омск г.о., Омская область, Россия",,
"12, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"122, улица Володарского, Омск, Омск г.о., Омская область, Россия",,
"nan, Машиностроительная улица, Омск, Омск г.о., Омская область, Россия",,
"13, Волочаевская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, деревня Гауф, Азовский немецкий национальный район, Омская область, Россия",,
"1, улица Ярослава Гашека, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, садоводческое некоммерческое товарищество Любитель, Омск г.о., Омская область, Россия",,
"136/2, Омская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Большереченский район, Омская область, Россия",,
"7, улица Перелёта, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Полтавский район, Омская область, Россия",,
"nan, улица Тюленина, село Розовка, Омский район, Омская область, Россия",,
"42, улица Сазонова, Омск, Омск г.о., Омская область, Россия",,
"19к4, улица 20 лет РККА, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Омский район, Омская область, Россия",,
"nan, nan, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица Лизы Чайкиной, Омск, Омск г.о., Омская область, Россия",,
"4, Братская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Дружино, Омский район, Омская область, Россия",,
"nan, Комбинатская улица, Омск, Омск г.о., Омская область, Россия",,
"8А, улица 22 Апреля, Омск, Омск г.о., Омская область, Россия",,
"70, Мельничная улица, Омск, Омск г.о., Омская область, Россия",,
"5, улица 60 лет Октября, село Дружино, Омский район, Омская область, Россия",,
"2, улица Сулеймана Стальского, Омск, Омск г.о., Омская область, Россия",,
"270, улица 20 лет РККА, Омск, Омск г.о., Омская область, Россия",,
"26А, улица Красный Путь, Омск, Омск г.о., Омская область, Россия",,
"55, улица Нахимова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 20 лет РККА, Омск, Омск г.о., Омская область, Россия",,
"1А, улица Ленина, село Троицкое, Омский район, Омская область, Россия",,
"nan, nan, nan, Исилькульский район, Омская область, Россия",,
"nan, проспект Карла Маркса, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Петровка, Омский район, Омская область, Россия",,
"nan, улица Володарского, Омск, Омск г.о., Омская область, Россия",,
"20к2, Космический проспект, Омск, Омск г.о., Омская область, Россия",,
"64/29, Нерпинская улица, Тара, Тарский район, Омская область, Россия",56.90677,74.3746223
"nan, проспект Мира, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Красный Октябрь, Черлакский район, Омская область, Россия",,
"9, улица Б.Г. Шаронова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Косарева, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Новомосковка, Омский район, Омская область, Россия",,
"nan, nan, деревня Зелёная Роща, Омский район, Омская область, Россия",,
"10, улица Багратиона, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, Калачинск, Калачинский район, Омская область, Россия",,
"11, Моторная улица, Омск, Омск г.о., Омская область, Россия",,
"10, улица Труда, Омск, Омск г.о., Омская область, Россия",,
"nan, Заозёрная улица, Омск, Омск г.о., Омская область, Россия",,
"274, улица Орджоникидзе, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 50 лет Октября, Омск, Омск г.о., Омская область, Россия",,
"28, улица Перелёта, Омск, Омск г.о., Омская область, Россия",,
"9, улица Сулеймана Стальского, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Добролюбова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Воровского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Знаменский район, Омская область, Россия",,
"nan, nan, деревня Мокшино, Любинский район, Омская область, Россия",,
"nan, проспект Королёва, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Лермонтова, Омск, Омск г.о., Омская область, Россия",,
"nan, 7-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 20-го Партсъезда, Омск, Омск г.о., Омская область, Россия",,
"nan, Тарская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, 7-я Кировская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Харино, Омский район, Омская область, Россия",,
"2, Луговая улица, посёлок Горячий Ключ, Омский район, Омская область, Россия",,
"3, улица Николая Худенко, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 75-й Гвардейской Бригады, Омск, Омск г.о., Омская область, Россия",,
"157А, улица 5-я Линия, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Кисляки, Называевский район, Омская область, Россия",,
"nan, улица Ленина, Омск, Омск г.о., Омская область, Россия",,
"nan, Иртышская набережная, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 50 лет ВЛКСМ, Омск, Омск г.о., Омская область, Россия",,
"nan, 6-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Революционная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Оконешниковский район, Омская область, Россия",,
"nan, nan, деревня Плотбище, Муромцевский район, Омская область, Россия",,
"nan, nan, рабочий посёлок Таврическое, Таврический район, Омская область, Россия",,
"nan, улица Панфилова, Омск, Омск г.о., Омская область, Россия",,
"nan, 1-я Путевая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Омская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Вавилова, рабочий посёлок Муромцево, Муромцевский район, Омская область, Россия",,
"nan, nan, Тюкалинск, Тюкалинский район, Омская область, Россия",,
"9, улица 50 лет ВЛКСМ, Омск, Омск г.о., Омская область, Россия",,
"46, улица Пирогова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Шакурова, Омск, Омск г.о., Омская область, Россия",,
"35А, Космический проспект, Омск, Омск г.о., Омская область, Россия",,
"nan, 19-я Рабочая улица, Омск, Омск г.о., Омская область, Россия",,
"34, Тарская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Павлоградский район, Омская область, Россия",,
"nan, Школьная улица, село Черниговка, Кормиловский район, Омская область, Россия",,
"nan, nan, село Куликово, Калачинский район, Омская область, Россия",,
"10, Транспортная улица, Тара, Тарский район, Омская область, Россия",56.9055643,74.3468854
"nan, 13-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Черниговка, Кормиловский район, Омская область, Россия",,
"7А, улица Кирова, Омск, Омск г.о., Омская область, Россия",,
"38, проспект Карла Маркса, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Ярослава Гашека, Омск, Омск г.о., Омская область, Россия",,
"nan, площадь Бухгольца, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Седельниковский район, Омская область, Россия",,
"nan, улица Красный Путь, Омск, Омск г.о., Омская область, Россия",,
"nan, Рабочая улица, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"nan, nan, nan, Шербакульский район, Омская область, Россия",,
"nan, улица Завертяева, Омск, Омск г.о., Омская область, Россия",,
"nan, 6-я Станционная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Муромцевский район, Омская область, Россия",,
"nan, Интернациональная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, рабочий посёлок Нововаршавка, Нововаршавский район, Омская область, Россия",,
"nan, nan, рабочий посёлок Оконешниково, Оконешниковский район, Омская область, Россия",,
"nan, nan, nan, Марьяновский район, Омская область, Россия",,
"nan, Сыропятская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Химиков, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, Исилькуль, Исилькульский район, Омская область, Россия",,
"98, улица 50 лет Октября, Омск, Омск г.о., Омская область, Россия",,
"22В, улица Блюхера, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Саргатский район, Омская область, Россия",,
"nan, 11-я Ремесленная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Туполева, Омск, Омск г.о., Омская область, Россия",,
"nan, мост имени 60-летия ВЛКСМ, Омск, Омск г.о., Омская область, Россия",,
"19, улица Энергетиков, Омск, Омск г.о., Омская область, Россия",,
"19, улица 19-го Партсъезда, Омск, Омск г.о., Омская область, Россия",,
"3, улица Шакурова, Омск, Омск г.о., Омская область, Россия",,
"nan, 10-я Чередовая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, 27-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 17-й Военный Городок, Омск, Омск г.о., Омская область, Россия",,
"nan, 4-я улица Челюскинцев, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Богдана Хмельницкого, Омск, Омск г.о., Омская область, Россия",,
"5, улица Дмитриева, Омск, Омск г.о., Омская область, Россия",,
"nan, Загородная улица, Калачинск, Калачинский район, Омская область, Россия",,
"nan, Вокзальная улица, Калачинск, Калачинский район, Омская область, Россия",,
"nan, улица Лукашевича, Омск, Омск г.о., Омская область, Россия",,
"nan, Олимпийская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Ушинского, Омск, Омск г.о., Омская область, Россия",,
"2, Берёзовая улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица 14-я Линия, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Перелёта, Омск, Омск г.о., Омская область, Россия",,
"nan, Зелёный бульвар, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Дмитриева, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Ватутина, Омск, Омск г.о., Омская область, Россия",,
"nan, 6-я Шинная улица, Омск, Омск г.о., Омская область, Россия",,
"7, Бульварная улица, Омск, Омск г.о., Омская область, Россия",,
"62к1, улица Воровского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Азовский немецкий национальный район, Омская область, Россия",,
"28, nan, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Шухово, Знаменский район, Омская область, Россия",,
"13, Коммунальная улица, Омск, Омск г.о., Омская область, Россия",,
"3А, улица Ватутина, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Горьковский район, Омская область, Россия",,
"nan, улица Суворова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Перелёта (дублёр), Омск, Омск г.о., Омская область, Россия",,
"nan, Рабочая улица, деревня Безымянная, Большереченский район, Омская область, Россия",,
"1А, Хуторская улица, посёлок Новоомский, Омский район, Омская область, Россия",,
"2Б, Заречный бульвар, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Надеждино, Омский район, Омская область, Россия",,
"28, улица Рокоссовского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Лузино, Омский район, Омская область, Россия",,
"nan, 5-я Рабочая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Сибирский проспект, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 20-я Линия, Омск, Омск г.о., Омская область, Россия",,
"31, 6-я Станционная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Лисицкого, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Чернолучье, Омский район, Омская область, Россия",,
"nan, nan, садоводческое некоммерческое товарищество Берёзовая Роща, Омск г.о., Омская область, Россия",,
"nan, улица Бархатовой, Омск, Омск г.о., Омская область, Россия",,
"19, Иртышская набережная, Омск, Омск г.о., Омская область, Россия",,
"84, улица Багратиона, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Рокоссовского, Омск, Омск г.о., Омская область, Россия",,
"nan, Казанская улица, Тара, Тарский район, Омская область, Россия",,
"nan, Вишнёвый переулок, Калачинск, Калачинский район, Омская область, Россия",,
"nan, nan, Тара, Тарский район, Омская область, Россия",,
"2, улица Комкова, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, деревня Петровка, Омский район, Омская область, Россия",,
"nan, Комсомольская улица, Тара, Тарский район, Омская область, Россия",,
"nan, nan, рабочий посёлок Муромцево, Муромцевский район, Омская область, Россия",,
"nan, nan, деревня 18 Партсъезд, Омский район, Омская область, Россия",,
"nan, Зелёная улица, село Бергамак, Муромцевский район, Омская область, Россия",,
"nan, улица Добровольского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Колосовский район, Омская область, Россия",,
"nan, Нерпинская улица, Тара, Тарский район, Омская область, Россия",,
"nan, улица Комсомольский Городок, Омск, Омск г.о., Омская область, Россия",,
"nan, 1-я Рабочая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Кормиловский район, Омская область, Россия",,
"nan, улица Ленина, село Пушкино, Омский район, Омская область, Россия",,
"nan, улица Мопра, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"nan, улица Пархоменко, Омск, Омск г.о., Омская область, Россия",,
"12/1, улица Крупской, Омск, Омск г.о., Омская область, Россия",,
"4, улица Ивана Алексеева, Омск, Омск г.о., Омская область, Россия",,
"nan, Юбилейная улица, село Андреевка, Омский район, Омская область, Россия",,
"34, улица Авиагородок, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, разъезд Петрушенко, Омский район, Омская область, Россия",,
"nan, nan, село Мельничное, Омский район, Омская область, Россия",,
"11, Юбилейная улица, село Андреевка, Омский район, Омская область, Россия",,
"nan, улица 7-я Линия, Тара, Тарский район, Омская область, Россия",,
"9, улица Перелёта, Омск, Омск г.о., Омская область, Россия",,
"4, улица Андрианова, Омск, Омск г.о., Омская область, Россия",,
"4, Зелёная улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"43, 19-я Рабочая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 30 лет ВЛКСМ, Омск, Омск г.о., Омская область, Россия",,
"203, улица 10 лет Октября, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 50 лет Профсоюзов, Омск, Омск г.о., Омская область, Россия",,
"4, Тимуровский проезд, Омск, Омск г.о., Омская область, Россия",,
"8/1, улица Перелёта, Омск, Омск г.о., Омская область, Россия",,
"2/4, 6-я Станционная улица, Омск, Омск г.о., Омская область, Россия",,
"20, улица Макарова, село Седельниково, Седельниковский район, Омская область, Россия",,
"nan, улица 12 Декабря, Омск, Омск г.о., Омская область, Россия",,
"nan, 3-я Железнодорожная улица, Омск, Омск г.о., Омская область, Россия",,
"145, Авиационная улица, Омск, Омск г.о., Омская область, Россия",,
"30, бульвар Архитекторов, Омск, Омск г.о., Омская область, Россия",,
"24, улица Мамина-Сибиряка, Омск, Омск г.о., Омская область, Россия",,
"11, Харьковская улица, Омск, Омск г.о., Омская область, Россия",,
"59, 2-я Поселковая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Конева, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Сулеймана Стальского, Омск, Омск г.о., Омская область, Россия",,
"35, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"32, улица Рокоссовского, Омск, Омск г.о., Омская область, Россия",,
"32, Новоомская улица, Омск, Омск г.о., Омская область, Россия",,
"23, Красноармейская улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"22, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"35, Красноармейская улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, 1-я Северная улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"57, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"2, улица Мира, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица Масленникова, Омск, Омск г.о., Омская область, Россия",,
"66, Рабочая улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"13, улица Ленина, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"78, Крымская улица, Омск, Омск г.о., Омская область, Россия",,
"4А, улица Фёдора Крылова, Омск, Омск г.о., Омская область, Россия",,
"27, улица Пушкина, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"5Б, улица Ермолаева, Омск, Омск г.о., Омская область, Россия",,
"24, улица Пушкина, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица Калинина, Омск, Омск г.о., Омская область, Россия",,
"52, улица 50 лет ВЛКСМ, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"58, Рабочая улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"36, Рабочая улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица Котельникова, Омск, Омск г.о., Омская область, Россия",,
"17/2, улица Крупской, Омск, Омск г.о., Омская область, Россия",,
"12, Октябрьская улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"29, Рабочая улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, Ангарская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Шипицыно, Большереченский район, Омская область, Россия",,
"62/4, улица Звездова, Омск, Омск г.о., Омская область, Россия",,
"8, Школьная улица, станция Любовка, Нововаршавский район, Омская область, Россия",,
"113, Нерпинская улица, Тара, Тарский район, Омская область, Россия",56.90677,74.3746223
"17, улица Ленина, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"31, улица Пушкина, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Труда, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Рождественского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Черлакский район, Омская область, Россия",,
"26, 2-я Поселковая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Привокзальная площадь, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Троицкое, Омский район, Омская область, Россия",,
"12, Красноармейская улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, улица Сергея Тюленина, Омск, Омск г.о., Омская область, Россия",,
"3, Новоомская улица, Омск, Омск г.о., Омская область, Россия",,
"140, улица Ленина, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"nan, улица 60 лет Победы, село Морозовка, Омский район, Омская область, Россия",,
"nan, nan, село Ивановка, Калачинский район, Омская область, Россия",,
"nan, Алтайская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Молодова, Омск, Омск г.о., Омская область, Россия",,
"10, улица Степанца, Омск, Омск г.о., Омская область, Россия",,
"18, улица Пархоменко, Омск, Омск г.о., Омская область, Россия",,
"nan, Нефтезаводская улица, Омск, Омск г.о., Омская область, Россия",,
"11, Заозёрная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 9-я Линия, Омск, Омск г.о., Омская область, Россия",,
"35к2, улица 22 Апреля, Омск, Омск г.о., Омская область, Россия",,
"36А, Камерный переулок, Омск, Омск г.о., Омская область, Россия",,
"78, Магистральная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Взлётная улица, Омск, Омск г.о., Омская область, Россия",,
"14к2, улица Малиновского, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Нововаршавский район, Омская область, Россия",,
"18, Пионерская улица, дачный посёлок Чернолучинский, Омский район, Омская область, Россия",,
"nan, улица 13-я Линия, Омск, Омск г.о., Омская область, Россия",,
"30, улица Мичурина, Тара, Тарский район, Омская область, Россия",56.8832696,74.406904
"119, улица 14-й Военный Городок, Омск, Омск г.о., Омская область, Россия",,
"197, Омская улица, Омск, Омск г.о., Омская область, Россия",,
"1В, улица 75-й Гвардейской Бригады, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Воскресенка, Калачинский район, Омская область, Россия",,
"7, улица Кучерявенко, Омск, Омск г.о., Омская область, Россия",,
"10, Юбилейная улица, село Красноярка, Омский район, Омская область, Россия",,
"5, бульвар Архитекторов, Омск, Омск г.о., Омская область, Россия",,
"18, Иртышская набережная, Омск, Омск г.о., Омская область, Россия",,
"nan, 30-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"25, улица Академика Павлова, Омск, Омск г.о., Омская область, Россия",,
"187, Осоавиахимовская улица, Омск, Омск г.о., Омская область, Россия",,
"9к2, улица Завертяева, Омск, Омск г.о., Омская область, Россия",,
"12, улица Степана Иванова, Омск, Омск г.о., Омская область, Россия",,
"nan, Литейная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Пушкино, Омский район, Омская область, Россия",,
"14к2, 1-я Пригородная улица, Омск, Омск г.о., Омская область, Россия",,
"19, улица Гуртьева, Омск, Омск г.о., Омская область, Россия",,
"23, 2-я Восточная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Арнольда Нейбута, Омск, Омск г.о., Омская область, Россия",,
"102, 15-я Рабочая улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, деревня Кокшенево, Муромцевский район, Омская область, Россия",,
"nan, мост имени 60-летия Победы, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Русско-Полянский район, Омская область, Россия",,
"11Б, 5-я Кордная улица, Омск, Омск г.о., Омская область, Россия",,
"25В, проспект Мира, Омск, Омск г.о., Омская область, Россия",,
"79, Космический проспект, Омск, Омск г.о., Омская область, Россия",,
"19, улица Бородина, Омск, Омск г.о., Омская область, Россия",,
"nan, Зелёная улица, Калачинск, Калачинский район, Омская область, Россия",,
"nan, Коммунальная улица, Тара, Тарский район, Омская область, Россия",,
"91, 18-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Андрианова, Омск, Омск г.о., Омская область, Россия",,
"4/1, улица Сулеймана Стальского, Омск, Омск г.о., Омская область, Россия",,
"20, улица Рокоссовского, Омск, Омск г.о., Омская область, Россия",,
"96, улица Арнольда Нейбута, Омск, Омск г.о., Омская область, Россия",,
"7Б, Моторная улица, Омск, Омск г.о., Омская область, Россия",,
"6А, улица Степанца, Омск, Омск г.о., Омская область, Россия",,
"14А, улица Романенко, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Б.Г. Шаронова, Омск, Омск г.о., Омская область, Россия",,
"nan, набережная Тухачевского, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Маршала Жукова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Арсеньева, Омск, Омск г.о., Омская область, Россия",,
"132, улица 13-я Линия, Омск, Омск г.о., Омская область, Россия",,
"204А, 24-я Северная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Морозовка, Омский район, Омская область, Россия",,
"60, улица Ленина, рабочий посёлок Русская Поляна, Русско-Полянский район, Омская область, Россия",,
"15, улица Ленина, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"5, Молодёжная улица, село Богословка, Омский район, Омская область, Россия",,
"10/2, проспект Королёва, Омск, Омск г.о., Омская область, Россия",,
"3, улица Сулеймана Стальского, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Кирова, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"1, улица Арсеньева, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Бородина, Омск, Омск г.о., Омская область, Россия",,
"4, улица Красина, Омск, Омск г.о., Омская область, Россия",,
"38, улица 22 Апреля, Омск, Омск г.о., Омская область, Россия",,
"81, улица Куйбышева, Омск, Омск г.о., Омская область, Россия",,
"4, улица Чайковского, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Герцена, Омск, Омск г.о., Омская область, Россия",,
"nan, Волочаевская улица, Омск, Омск г.о., Омская область, Россия",,
"83, Пролетарская улица, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"26А, улица Серова, Омск, Омск г.о., Омская область, Россия",,
"67, проспект Мира, Омск, Омск г.о., Омская область, Россия",,
"65, улица Маршала Жукова, Омск, Омск г.о., Омская область, Россия",,
"22, улица Блюхера, Омск, Омск г.о., Омская область, Россия",,
"nan, Красногвардейская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Ленинградский мост, Омск, Омск г.о., Омская область, Россия",,
"27, улица Ленина, рабочий посёлок Москаленки, Москаленский район, Омская область, Россия",,
"nan, Транспортная улица, село Знаменское, Знаменский район, Омская область, Россия",,
"92, Южная улица, рабочий посёлок Любинский, Любинский район, Омская область, Россия",,
"nan, улица Гусарова, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Гуртьева, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Оглухино, Крутинский район, Омская область, Россия",,
"9, улица Сергея Тюленина, Омск, Омск г.о., Омская область, Россия",,
"19, Подгорная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Седельниково, Седельниковский район, Омская область, Россия",,
"15, 4-я Транспортная улица, Омск, Омск г.о., Омская область, Россия",,
"14, 1-я Тепловозная улица, Омск, Омск г.о., Омская область, Россия",,
"15А, Волочаевская улица, Омск, Омск г.о., Омская область, Россия",,
"17, улица Добролюбова, Омск, Омск г.о., Омская область, Россия",,
"28, 21-я Амурская улица, Омск, Омск г.о., Омская область, Россия",,
